slug,score,parcial,peso_cubierto,hardfails,E1,E2,E3,E4,E5,E6,cuello,cuello_pct,clics,ventana_abierta
convenio-comercio-madrid,69.8,False,100,0,13.4,17.8,16.0,11.7,4.8,6.1,E5,40.0,,True
convenio-comercio-metal-barcelona,,True,0,1,,,,,,,,,,False
convenio-comercio-metal-bizkaia,,True,0,2,,,,,,,,,,True
convenio-construccion-bizkaia,,True,0,0,,,,,,,,,12,False
convenio-construccion-madrid,,True,0,0,,,,,,,,,,True
convenio-contact-center,,True,0,0,,,,,,,,,,True
convenio-hosteleria,,True,0,2,,,,,,,,,,False
convenio-hosteleria-alicante,,True,0,2,,,,,,,,,,False
convenio-hosteleria-baleares,,True,0,0,,,,,,,,,123,True
convenio-hosteleria-barcelona,,True,0,1,,,,,,,,,92,False
convenio-hosteleria-bizkaia,,True,0,0,,,,,,,,,43,False
convenio-hosteleria-cadiz,,True,0,0,,,,,,,,,,False
convenio-hosteleria-cantabria,,True,0,0,,,,,,,,,,True
convenio-hosteleria-gipuzkoa,,True,0,2,,,,,,,,,,False
convenio-hosteleria-girona,,True,0,0,,,,,,,,,51,False
convenio-hosteleria-granada,,True,0,0,,,,,,,,,,False
convenio-hosteleria-laspalmas,,True,0,2,,,,,,,,,,True
convenio-hosteleria-madrid,,True,0,1,,,,,,,,,95,False
convenio-hosteleria-malaga,,True,0,2,,,,,,,,,36,False
convenio-hosteleria-maresme,,True,0,0,,,,,,,,,32,False
convenio-hosteleria-sevilla,,True,0,0,,,,,,,,,22,False
convenio-hosteleria-tarragona,,True,0,0,,,,,,,,,69,False
convenio-hosteleria-valencia,65.5,False,100,3,12.2,12.6,16.7,9.3,8.0,6.7,E1,55.5,163,False
convenio-hosteleria-valladolid,,True,0,0,,,,,,,,,,False
convenio-hosteleria-zaragoza,,True,0,0,,,,,,,,,64,False
convenio-limpieza-alicante,,True,0,0,,,,,,,,,,False
convenio-limpieza-asturias,62.2,False,100,5,9.8,18.9,14.4,9.3,5.6,4.2,E6,42.0,130,True
convenio-limpieza-barcelona,,True,0,0,,,,,,,,,152,True
convenio-limpieza-bizkaia,,True,0,1,,,,,,,,,158,False
convenio-limpieza-catalunya,,True,0,1,,,,,,,,,,False
convenio-limpieza-edificios-locales,,True,0,1,,,,,,,,,87,True
convenio-limpieza-laspalmas,,True,0,1,,,,,,,,,2,False
convenio-limpieza-madrid,,True,0,0,,,,,,,,,103,True
convenio-limpieza-malaga,,True,0,1,,,,,,,,,72,False
convenio-limpieza-murcia,,True,0,1,,,,,,,,,41,False
convenio-limpieza-pontevedra,,True,0,0,,,,,,,,,,True
convenio-limpieza-sevilla,,True,0,1,,,,,,,,,22,False
convenio-limpieza-tenerife,,True,0,0,,,,,,,,,,True
convenio-limpieza-valencia,,True,0,1,,,,,,,,,64,False
convenio-limpieza-zaragoza,71.0,False,100,2,17.1,20.8,14.7,7.8,6.4,4.2,E6,42.0,124,False
convenio-metal-alava,66.6,False,100,0,15.9,17.8,12.2,9.3,5.6,5.8,E5,46.7,,True
convenio-metal-asturias,77.0,False,100,0,19.6,22.0,14.4,8.4,6.4,6.2,E5,53.3,,True
convenio-metal-barcelona,70.1,False,100,2,19.6,18.9,11.1,10.3,5.6,4.6,E6,46.0,,False
convenio-metal-bizkaia,66.5,False,100,4,15.9,17.8,12.2,8.4,7.2,5.0,E6,50.0,58,False
convenio-metal-gipuzkoa,65.2,False,100,0,15.9,16.8,11.1,8.4,7.2,5.8,E3,55.5,,True
convenio-metal-madrid,76.0,False,100,0,17.1,19.9,16.7,9.3,7.2,5.8,E6,58.0,,True
convenio-metal-navarra,70.2,False,100,1,19.6,14.7,14.4,9.3,6.4,5.8,E5,53.3,,True
convenio-metal-sevilla,76.7,False,100,0,19.6,21.0,14.4,7.8,7.2,6.7,E4,55.7,,True
convenio-metal-valencia,65.9,False,100,0,13.4,18.9,12.2,8.4,7.2,5.8,E6,58.0,,False
convenio-metal-zaragoza,77.4,False,100,1,19.6,21.0,13.3,9.3,8.0,6.2,E6,62.0,,True
convenio-oficinas-bizkaia,,True,0,2,,,,,,,,,,True
convenio-oficinas-madrid,,True,0,2,,,,,,,,,,True
convenio-oficinas-valencia,,True,0,0,,,,,,,,,41,True
convenio-seguridad-privada,,True,0,0,,,,,,,,,,True
convenio-tecnicos-espectaculos,63.5,True,74,2,11.0,19.9,10.0,,,6.1,E1,50.0,4,False
