slug,sector,estado,palabras_prosa,ratio_tabla,boilerplate_ratio,frases_exclusivas,cifras_n,pct_huerfanas,faq_n,faq_clonadas,entrantes_n,internos_cuerpo,a_hermanas,al_kit,tablas_n,sin_th,verde_en_tablas,parrafos_largos,conceptos_ausentes,dias_commit,gsc_clics,gsc_ctr,hardfails
convenio-comercio-madrid,comercio,vigente,2274,0.137,0.022,89,59,0.153,4,0,7,15,0,1,4,0,0,2,2,13,,,0
convenio-comercio-metal-barcelona,comercio,vigente,5304,0.043,0.026,187,153,0.046,7,0,2,25,2,3,3,0,0,6,2,0,,,1
convenio-comercio-metal-bizkaia,comercio-metal,especial,3286,0.107,0.084,120,163,0.006,6,0,5,18,0,4,1,0,0,0,2,11,,,2
convenio-construccion-bizkaia,construccion,vigente,2453,0.286,0.205,70,190,0.216,7,5,11,17,0,2,8,0,136,1,1,33,12,1.92%,0
convenio-construccion-madrid,construccion,vigente,2997,0.201,0.061,107,187,0.037,8,4,3,16,1,1,6,0,0,1,2,31,,,0
convenio-contact-center,contact,vigente,3331,0.101,0.044,130,124,0.048,6,0,2,17,0,1,5,0,0,1,1,26,,,0
convenio-hosteleria,hosteleria,marco,3681,0.072,0.025,157,96,0.51,8,1,31,63,15,1,2,0,0,0,2,33,,,2
convenio-hosteleria-alicante,hosteleria,especial,5121,0.05,0.0,198,142,0.07,8,3,5,6,0,0,5,1,97,3,0,0,,,1
convenio-hosteleria-baleares,hosteleria,vigente,5565,0.1,0.061,214,224,0.089,5,2,10,18,5,2,8,0,173,2,1,19,123,2.19%,0
convenio-hosteleria-barcelona,hosteleria,vigente,4382,0.268,0.146,152,159,0.384,10,5,60,22,4,3,20,1,0,1,0,33,92,2.1%,1
convenio-hosteleria-bizkaia,hosteleria,vigente,4357,0.079,0.07,160,176,0.028,5,3,22,18,4,2,6,0,82,1,0,33,43,1.85%,0
convenio-hosteleria-cadiz,hosteleria,vigente,1939,0.183,0.243,56,122,0.09,7,4,10,23,9,2,7,0,82,1,1,33,,,0
convenio-hosteleria-cantabria,hosteleria,especial,4910,0.167,0.037,183,239,0.084,8,3,11,22,8,2,10,0,93,7,1,27,,,0
convenio-hosteleria-gipuzkoa,hosteleria,vigente,3860,0.029,0.0,159,140,0.014,7,2,5,12,2,1,3,0,30,2,4,33,,,2
convenio-hosteleria-girona,hosteleria,vigente,2135,0.523,0.366,59,173,0.081,4,4,15,27,1,1,15,0,54,1,1,33,51,4.3%,0
convenio-hosteleria-granada,hosteleria,especial,2818,0.166,0.162,93,123,0.0,7,3,9,24,10,2,8,0,71,6,0,33,,,0
convenio-hosteleria-laspalmas,hosteleria,vigente,4357,0.05,0.0,178,198,0.03,6,1,4,12,4,0,3,0,75,1,2,27,,,2
convenio-hosteleria-madrid,hosteleria,ultraactividad,3549,0.233,0.117,128,134,0.634,8,1,21,18,1,2,16,1,0,0,1,33,95,1.42%,1
convenio-hosteleria-malaga,hosteleria,vigente,1614,0.566,0.246,49,21,0.429,0,0,13,18,4,2,24,0,1241,0,2,33,36,2.24%,2
convenio-hosteleria-maresme,hosteleria,vigente,2371,0.349,0.358,61,170,0.294,4,3,14,31,3,1,15,0,40,2,1,33,32,7.46%,0
convenio-hosteleria-sevilla,hosteleria,vigente,2890,0.512,0.193,92,293,0.044,4,4,10,17,1,1,12,0,86,1,0,33,22,1.74%,0
