date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260611,/convenio-limpieza-zaragoza.html,Organic Search,15,14,17,211.33791273333333
20260611,/convenio-limpieza-madrid.html,Organic Search,14,13,17,381.64908371428567
20260611,/convenio-hosteleria-malaga.html,Organic Search,10,8,11,88.336702
20260611,/convenio-hosteleria-valencia.html,Organic Search,10,9,9,121.7491716
20260611,/convenio-hosteleria-zaragoza.html,Organic Search,8,7,8,54.384312
20260611,/convenio-hosteleria-baleares.html,Organic Search,7,6,7,152.62045414285714
20260611,/convenio-hosteleria-madrid.html,Organic Search,7,6,6,111.45065671428571
20260611,/convenio-limpieza-bizkaia.html,Organic Search,7,7,8,338.71596942857144
20260611,/convenio-limpieza-edificios-locales.html,Organic Search,7,7,9,286.51574257142858
20260611,/convenio-hosteleria-barcelona.html,Organic Search,6,3,7,209.24456766666665
20260611,/convenio-hosteleria-girona.html,Organic Search,5,2,9,44.8173996
20260611,/convenio-limpieza-barcelona.html,Organic Search,5,4,5,65.4563994
20260611,/convenio-limpieza-malaga.html,Organic Search,5,4,4,21.3981584
20260611,/convenio-metal-bizkaia.html,Organic Search,5,5,5,72.1362708
20260611,/convenio-hosteleria-tarragona.html,Organic Search,4,4,4,244.5707335
20260611,/convenio-limpieza-valencia.html,Organic Search,4,4,4,9.7357145
20260611,/,Organic Search,3,3,3,15.476071
20260611,/convenio-hosteleria-maresme.html,Organic Search,3,2,5,378.08160733333335
20260611,/convenio-hosteleria-sevilla.html,Organic Search,3,2,3,82.851491666666661
20260611,/convenio-limpieza-asturias.html,Organic Search,3,3,3,41.129153333333335
20260611,/tramos-irpf-2026.html,Organic Search,3,3,3,54.97917266666667
20260611,/convenio-hosteleria-bizkaia.html,Organic Search,2,2,3,15.364919
20260611,/ley-transparencia-salarial-2026.html,Organic Search,2,2,2,28.0706915
20260611,/plantilla-solicitar-informacion-salarial-rrhh.html,Direct,2,2,2,0
20260611,/plantilla-solicitar-informacion-salarial-rrhh.html,Referral,2,1,1,107.9009835
20260611,/convenio-construccion-bizkaia.html,Direct,1,1,1,2.501306
20260611,/convenio-hosteleria-baleares.html,Direct,1,1,1,0
20260611,/convenio-hosteleria-barcelona.html,Direct,1,1,1,0
20260611,/convenio-hosteleria-cadiz.html,Organic Search,1,1,1,69.316052
20260611,/convenio-hosteleria-malaga.html,Direct,1,1,1,8.520036
20260611,/convenio-hosteleria-maresme.html,Direct,1,1,3,1495.39062
20260611,/convenio-limpieza-edificios-locales.html,Direct,1,1,1,0
20260611,/convenio-limpieza-murcia.html,Organic Search,1,1,3,1739.612498
20260611,/convenio-limpieza-valencia.html,Direct,1,1,1,44.752945
20260611,/convenio-limpieza-zaragoza.html,Direct,1,1,1,0
20260611,/ley-transparencia-salarial-2026.html,Direct,1,1,1,22.241246
20260611,/pedir-banda-salarial-empresa-2026.html,Direct,1,1,1,0
20260611,/pedir-banda-salarial-empresa-2026.html,Organic Search,1,1,1,102.217954
20260611,/plantilla-reclamar-absorcion-complementos-smi.html,Organic Search,1,1,1,0
20260611,/plantillas-transparencia-retributiva-2026.html,Direct,1,1,1,0
