Fecha,Clics,Impresiones,CTR,Posición
2026-03-29,0,15,0%,9.9
2026-03-30,0,13,0%,16.9
2026-03-31,1,28,3.57%,8.8
2026-04-01,0,27,0%,12.7
2026-04-02,0,21,0%,14
2026-04-03,0,16,0%,15.8
2026-04-04,0,23,0%,9.9
2026-04-05,0,31,0%,17.7
2026-04-06,0,16,0%,19.5
2026-04-07,2,20,10%,12.6
2026-04-08,1,45,2.22%,9.5
2026-04-09,0,23,0%,17.6
2026-04-10,0,18,0%,28.3
2026-04-11,0,15,0%,25.3
2026-04-12,0,22,0%,23.7
2026-04-13,1,27,3.7%,20.7
2026-04-14,0,19,0%,13.4
2026-04-15,0,30,0%,11.1
2026-04-16,0,38,0%,7.7
2026-04-17,0,36,0%,9.8
2026-04-18,1,16,6.25%,9.8
2026-04-19,0,32,0%,38.5
2026-04-20,1,28,3.57%,17.7
2026-04-21,2,89,2.25%,21.3
2026-04-22,4,226,1.77%,16.9
2026-04-23,6,445,1.35%,9.4
2026-04-24,10,500,2%,8.8
2026-04-25,6,420,1.43%,9.2
2026-04-26,14,601,2.33%,9.6
2026-04-27,36,1355,2.66%,7.6
2026-04-28,35,1388,2.52%,8.1
2026-04-29,36,1538,2.34%,8
2026-04-30,63,2113,2.98%,7.3
2026-05-01,34,1184,2.87%,7.1
2026-05-02,23,1654,1.39%,6.6
2026-05-03,23,925,2.49%,8.3
2026-05-04,64,2269,2.82%,7.9
2026-05-05,59,2525,2.34%,8.5
2026-05-06,80,2289,3.49%,7
2026-05-07,62,2020,3.07%,7.3
2026-05-08,47,1374,3.42%,7
2026-05-09,27,1065,2.54%,7.6
2026-05-10,33,977,3.38%,7.3
2026-05-11,54,1562,3.46%,6.5
2026-05-12,38,1416,2.68%,8.5
2026-05-13,47,1414,3.32%,7.6
2026-05-14,41,1427,2.87%,7.8
2026-05-15,29,1234,2.35%,9.2
2026-05-16,13,1028,1.26%,7.4
2026-05-17,28,1222,2.29%,8
2026-05-18,64,1658,3.86%,8.3
2026-05-19,59,1266,4.66%,8.7
2026-05-20,54,1534,3.52%,8.9
2026-05-21,54,1742,3.1%,8.5
2026-05-22,40,1527,2.62%,8.9
2026-05-23,28,1200,2.33%,8.7
2026-05-24,54,1650,3.27%,9
2026-05-25,56,2025,2.77%,8.6
2026-05-26,82,2330,3.52%,8.4
2026-05-27,92,2632,3.5%,8.2
2026-05-28,92,3005,3.06%,8.5
2026-05-29,65,2711,2.4%,8.1
2026-05-30,34,2389,1.42%,7.3
2026-05-31,35,2097,1.67%,8
2026-06-01,102,3866,2.64%,7.8
2026-06-02,91,3093,2.94%,7.9
2026-06-03,88,3375,2.61%,7.6
2026-06-04,116,3225,3.6%,7.5
2026-06-05,66,2631,2.51%,9.3
2026-06-06,39,1962,1.99%,13
2026-06-07,43,1953,2.2%,8.8
2026-06-08,99,3146,3.15%,7.8
2026-06-09,99,3644,2.72%,7.7
2026-06-10,113,3827,2.95%,7.7
2026-06-11,123,3697,3.33%,7.5
2026-06-12,76,2910,2.61%,7.9
2026-06-13,30,1851,1.62%,7.8
2026-06-14,52,2346,2.22%,7.3
2026-06-15,127,4726,2.69%,7.6
2026-06-16,139,4622,3.01%,7
2026-06-17,134,5051,2.65%,7.2
2026-06-18,114,4108,2.78%,7.1
2026-06-19,84,3930,2.14%,7.1
2026-06-20,50,2490,2.01%,7.4
2026-06-21,59,2631,2.24%,7.3
2026-06-22,137,5079,2.7%,6.8
2026-06-23,126,5367,2.35%,6.6
2026-06-24,117,4349,2.69%,6.5
2026-06-25,173,5355,3.23%,6.1
2026-06-26,146,5258,2.78%,6.7
2026-06-27,86,2907,2.96%,6.3
2026-06-28,110,3965,2.77%,6.4
