url;clicks_3m;impressions_3m;ctr;avg_position
https://salariojusto.es/convenio-limpieza-bizkaia.html;82;1193;6.87;6.19
https://salariojusto.es/convenio-hosteleria-valencia.html;77;2324;3.31;6.98
https://salariojusto.es/convenio-hosteleria-madrid.html;53;2457;2.16;8.84
https://salariojusto.es/convenio-hosteleria-tarragona.html;53;747;7.1;5.59
https://salariojusto.es/convenio-hosteleria-girona.html;52;981;5.3;5.75
https://salariojusto.es/convenio-limpieza-barcelona.html;50;2022;2.47;7.25
https://salariojusto.es/convenio-hosteleria-barcelona.html;43;1419;3.03;7.75
https://salariojusto.es/convenio-limpieza-zaragoza.html;40;666;6.01;7.02
https://salariojusto.es/convenio-limpieza-malaga.html;37;831;4.45;5.37
https://salariojusto.es/convenio-limpieza-sevilla.html;26;829;3.14;6.83
https://salariojusto.es/convenio-limpieza-murcia.html;22;583;3.77;5.92
https://salariojusto.es/convenio-limpieza-madrid.html;19;1187;1.6;9.10
https://salariojusto.es/convenio-limpieza-valencia.html;18;996;1.81;7.42
https://salariojusto.es/convenio-oficinas-valencia.html;16;850;1.88;8.81
https://salariojusto.es/convenio-hosteleria-maresme.html;16;216;7.41;4.95
https://salariojusto.es/convenio-limpieza-laspalmas.html;15;518;2.9;6.94
https://salariojusto.es/convenio-limpieza-asturias.html;13;4131;0.31;6.03
https://salariojusto.es/plantilla-reclamar-atrasos-convenio-salarial.html;13;220;5.91;7.73
https://salariojusto.es/;8;227;3.52;10.40
https://salariojusto.es/plantilla-reclamar-grupo-profesional-superior.html;5;61;8.20;5.62
https://salariojusto.es/convenio-limpieza-edificios-locales.html;4;1159;0.35;11.47
https://salariojusto.es/rangos-salariales-empresa-transparencia-2026.html;4;106;3.77;9.21
https://salariojusto.es/ley-transparencia-salarial-2026.html;3;316;0.95;16.41
https://salariojusto.es/en/;1;850;0.12;19.75
https://salariojusto.es/salarios.html;1;106;0.94;41.56
https://salariojusto.es/plantilla-solicitar-informacion-salarial-rrhh.html;1;27;3.70;46.07
https://salariojusto.es/salario-neto-100000-euros-brutos-madrid.html;1;23;4.35;10.04
https://salariojusto.es/plantillas-transparencia-retributiva-2026.html;1;17;5.88;4.41
