"id";"tipo";"sector";"territorio";"nombre_canonico";"query_1";"vol_q1";"query_2";"vol_q2";"query_3";"vol_q3";"vol_total";"tengo_landing";"peso_tipo";"score";"notas"
"112";"sectorial-provincial";"hosteleria";"Baleares";"Convenio Hostelería Baleares";"convenio hostelería baleares";"50000";"convenio hostelería baleares 2026";"5000";"tabla salarial hostelería baleares";"500";"55500";"si";"1";"55500";""
"281";"sectorial-provincial";"oficinas-despachos";"Madrid";"Convenio Oficinas y Despachos Madrid";"convenio oficinas y despachos madrid";"50000";"convenio oficinas y despachos madrid 2026";"5000";"tabla salarial oficinas y despachos madrid";"500";"55500";"no";"1";"55500";""
"10";"sectorial-provincial";"metal";"Bizkaia";"Convenio Metal Bizkaia";"convenio metal bizkaia";"50000";"convenio metal bizkaia 2026";"5000";"tabla salarial metal bizkaia";"0";"55000";"si";"1";"55000";""
"9";"sectorial-provincial";"metal";"Barcelona";"Convenio Metal Barcelona";"convenio metal barcelona";"50000";"convenio metal barcelona 2026";"5000";"tabla salarial metal barcelona";"0";"55000";"no";"1";"55000";""
"140";"sectorial-provincial";"hosteleria";"Las Palmas";"Convenio Hostelería Las Palmas";"convenio hostelería las palmas";"50000";"convenio hostelería las palmas 2026";"5000";"tabla salarial hostelería las palmas";"0";"55000";"no";"1";"55000";""
"134";"sectorial-provincial";"hosteleria";"Madrid";"Convenio Hostelería Madrid";"convenio hostelería madrid";"50000";"convenio hostelería madrid 2026";"5000";"tabla salarial hostelería madrid";"0";"55000";"si";"1";"55000";""
"361";"autonomico";"hosteleria";"Catalunya";"Convenio Hosteleria Catalunya";"convenio hosteleria catalunya";"50000";"convenio hosteleria catalunya 2026";"500";"tabla salarial hosteleria catalunya";"0";"50500";"no";"0,8";"40400";""
"408";"empresa";"retail";"Estatal";"Convenio Mercadona";"convenio mercadona";"50000";"convenio mercadona 2026";"5000";"tabla salarial mercadona";"500";"55500";"no";"0,6";"33300";""
"41";"sectorial-provincial";"metal";"Sevilla";"Convenio Metal Sevilla";"convenio metal sevilla";"5000";"convenio metal sevilla 2026";"5000";"tabla salarial metal sevilla";"500";"10500";"no";"1";"10500";""
"37";"sectorial-provincial";"metal";"Pontevedra";"Convenio Metal Pontevedra";"convenio metal pontevedra";"5000";"convenio metal pontevedra 2026";"5000";"tabla salarial metal pontevedra";"500";"10500";"no";"1";"10500";""
"30";"sectorial-provincial";"metal";"Madrid";"Convenio Metal Madrid";"convenio metal madrid";"5000";"convenio metal madrid 2026";"5000";"tabla salarial metal madrid";"500";"10500";"no";"1";"10500";""
"283";"sectorial-provincial";"oficinas-despachos";"Valencia";"Convenio Oficinas y Despachos Valencia";"convenio oficinas y despachos valencia";"5000";"convenio oficinas y despachos valencia 2026";"5000";"tabla salarial oficinas y despachos valencia";"500";"10500";"no";"1";"10500";""
"5";"sectorial-provincial";"metal";"Asturias";"Convenio Metal Asturias";"convenio metal asturias";"5000";"convenio metal asturias 2026";"5000";"tabla salarial metal asturias";"500";"10500";"no";"1";"10500";""
"206";"sectorial-provincial";"construccion";"Zaragoza";"Convenio Construcción Zaragoza";"convenio construcción zaragoza";"5000";"convenio construcción zaragoza 2026";"5000";"tabla salarial construcción zaragoza";"0";"10000";"no";"1";"10000";""
"33";"sectorial-provincial";"metal";"Navarra";"Convenio Metal Navarra";"convenio metal navarra";"5000";"convenio metal navarra 2026";"5000";"tabla salarial metal navarra";"0";"10000";"no";"1";"10000";""
"166";"sectorial-provincial";"construccion";"Bizkaia";"Convenio Construcción Bizkaia";"convenio construcción bizkaia";"5000";"convenio construcción bizkaia 2026";"5000";"tabla salarial construcción bizkaia";"0";"10000";"si";"1";"10000";""
"32";"sectorial-provincial";"metal";"Murcia";"Convenio Metal Murcia";"convenio metal murcia";"5000";"convenio metal murcia 2026";"5000";"tabla salarial metal murcia";"0";"10000";"no";"1";"10000";""
"29";"sectorial-provincial";"metal";"Lugo";"Convenio Metal Lugo";"convenio metal lugo";"5000";"convenio metal lugo 2026";"5000";"tabla salarial metal lugo";"0";"10000";"no";"1";"10000";""
"164";"sectorial-provincial";"construccion";"Baleares";"Convenio Construcción Baleares";"convenio construcción baleares";"5000";"convenio construcción baleares 2026";"5000";"tabla salarial construcción baleares";"0";"10000";"no";"1";"10000";""
"197";"sectorial-provincial";"construccion";"Sevilla";"Convenio Construcción Sevilla";"convenio construcción sevilla";"5000";"convenio construcción sevilla 2026";"5000";"tabla salarial construcción sevilla";"0";"10000";"no";"1";"10000";""
"44";"sectorial-provincial";"metal";"Tarragona";"Convenio Metal Tarragona";"convenio metal tarragona";"5000";"convenio metal tarragona 2026";"5000";"tabla salarial metal tarragona";"0";"10000";"no";"1";"10000";""
"203";"sectorial-provincial";"construccion";"Valencia";"Convenio Construcción Valencia";"convenio construcción valencia";"5000";"convenio construcción valencia 2026";"5000";"tabla salarial construcción valencia";"0";"10000";"no";"1";"10000";""
"47";"sectorial-provincial";"metal";"Valencia";"Convenio Metal Valencia";"convenio metal valencia";"5000";"convenio metal valencia 2026";"5000";"tabla salarial metal valencia";"0";"10000";"no";"1";"10000";""
"165";"sectorial-provincial";"construccion";"Barcelona";"Convenio Construcción Barcelona";"convenio construcción barcelona";"5000";"convenio construcción barcelona 2026";"5000";"tabla salarial construcción barcelona";"0";"10000";"no";"1";"10000";""
"294";"sectorial-provincial";"oficinas-despachos";"Granada";"Convenio Oficinas y Despachos Granada";"convenio oficinas y despachos granada";"5000";"convenio oficinas y despachos granada 2026";"5000";"tabla salarial oficinas y despachos granada";"0";"10000";"no";"1";"10000";""
"48";"sectorial-provincial";"metal";"Valladolid";"Convenio Metal Valladolid";"convenio metal valladolid";"5000";"convenio metal valladolid 2026";"5000";"tabla salarial metal valladolid";"0";"10000";"no";"1";"10000";""
"50";"sectorial-provincial";"metal";"Zaragoza";"Convenio Metal Zaragoza";"convenio metal zaragoza";"5000";"convenio metal zaragoza 2026";"5000";"tabla salarial metal zaragoza";"0";"10000";"no";"1";"10000";""
"178";"sectorial-provincial";"construccion";"Granada";"Convenio Construcción Granada";"convenio construcción granada";"5000";"convenio construcción granada 2026";"5000";"tabla salarial construcción granada";"0";"10000";"no";"1";"10000";""
"193";"sectorial-provincial";"construccion";"Pontevedra";"Convenio Construcción Pontevedra";"convenio construcción pontevedra";"5000";"convenio construcción pontevedra 2026";"5000";"tabla salarial construcción pontevedra";"0";"10000";"no";"1";"10000";""
"20";"sectorial-provincial";"metal";"Gipuzkoa";"Convenio Metal Gipuzkoa";"convenio metal gipuzkoa";"5000";"convenio metal gipuzkoa 2026";"5000";"tabla salarial metal gipuzkoa";"0";"10000";"no";"1";"10000";""
"137";"sectorial-provincial";"hosteleria";"Navarra";"Convenio Hostelería Navarra";"convenio hostelería navarra";"5000";"convenio hostelería navarra 2026";"5000";"tabla salarial hostelería navarra";"0";"10000";"no";"1";"10000";""
"118";"sectorial-provincial";"hosteleria";"Cantabria";"Convenio Hostelería Cantabria";"convenio hostelería cantabria";"5000";"convenio hostelería cantabria 2026";"5000";"tabla salarial hostelería cantabria";"0";"10000";"si";"1";"10000";""
"8";"sectorial-provincial";"metal";"Baleares";"Convenio Metal Baleares";"convenio metal baleares";"5000";"convenio metal baleares 2026";"5000";"tabla salarial metal baleares";"0";"10000";"no";"1";"10000";""
