id,empresa,sector_codigo,sector_nombre,ccaa,tamaño,fecha_captura
1,eDreams ODIGEO,TEC,Tecnología,Cataluña,XL,2026-04-28
2,Deporvillage,TEC,Tecnología,Cataluña,M,2026-04-28
3,Octave,TEC,Tecnología,Madrid,XL,2026-04-28
4,Peer Markets,TEC,Tecnología,?,XS,2026-04-28
5,Lastminute.com,TEC,Tecnología,Madrid,XL,2026-04-28
6,Robert Walters,TEC,Tecnología,Valencia,XL,2026-04-28
7,Kairós Digital Solutions S.L.,TEC,Tecnología,Madrid,L,2026-04-28
8,Product Hackers,TEC,Tecnología,Remoto,M,2026-04-28
9,Libeen Smart Housing,TEC,Tecnología,Madrid,S,2026-04-28
10,Perk,TEC,Tecnología,Cataluña,XL,2026-04-28
11,Saanz,TEC,Tecnología,Remoto,XS,2026-04-28
12,Investing.com,TEC,Tecnología,Madrid,L,2026-04-28
13,Performanze,TEC,Tecnología,Madrid,M,2026-04-28
14,Click&Boat,TEC,Tecnología,Cataluña,M,2026-04-28
15,Fedcel,TEC,Tecnología,Cataluña,S,2026-04-28
16,Papernest,TEC,Tecnología,Cataluña,XL,2026-04-28
17,SplitMetrics,TEC,Tecnología,Cataluña,M,2026-04-28
18,Guesty,TEC,Tecnología,Remoto,L,2026-04-28
19,Èmfasi. Agencia de marketing digital,TEC,Tecnología,Cataluña,S,2026-04-28
20,Ascendion,TEC,Tecnología,Madrid,XL,2026-04-28
21,The Social Hub (B Corp),HOS,Hostelería,Cataluña,L,2026-04-28
22,Ola Living,HOS,Hostelería,Cataluña,S,2026-04-28
23,Inmood Hotels,HOS,Hostelería,Andalucía,M,2026-04-28
24,Iberostar Hotels & Resorts,HOS,Hostelería,Baleares,XL,2026-04-28
25,Vacation Marbella,HOS,Hostelería,Andalucía,S,2026-04-28
26,The Völkers House,HOS,Hostelería,Baleares,M,2026-04-28
27,FireVolt,HOS,Hostelería,Cataluña,XS,2026-04-28
28,Grand Hyatt,HOS,Hostelería,Cataluña,XL,2026-04-28
29,Nobu Hotel Barcelona,HOS,Hostelería,Cataluña,L,2026-04-28
30,TUI,HOS,Hostelería,Baleares,XL,2026-04-28
31,AtlasOra,HOS,Hostelería,Cataluña,S,2026-04-28
32,Gloria Thalasso & Hotels,HOS,Hostelería,Canarias,L,2026-04-28
33,Balnearios Relais Termal,HOS,Hostelería,La Rioja,L,2026-04-28
34,DO & CO AG,HOS,Hostelería,Madrid,XL,2026-04-28
35,Hovima Hotels,HOS,Hostelería,Canarias,L,2026-04-28
36,Grupo Crit,HOS,Hostelería,Murcia,XL,2026-04-28
37,Hilton,HOS,Hostelería,Madrid,XL,2026-04-28
38,Empresa Confidencial,HOS,Hostelería,Cataluña,M,2026-04-28
39,Greystar,HOS,Hostelería,Madrid,XL,2026-04-28
40,Hyde Hotels,HOS,Hostelería,Baleares,XL,2026-04-28
41,The Adecco Group,BAN,Servicios financieros,Madrid,XL,2026-04-28
42,Minsait,BAN,Servicios financieros,Madrid,XL,2026-04-28
43,Thrive IT Systems,BAN,Servicios financieros,Remoto,S,2026-04-28
44,BME Bolsas y Mercados Españoles,BAN,Servicios financieros,Madrid,L,2026-04-28
45,AXA Exclusiv,BAN,Servicios financieros,Extremadura,XL,2026-04-28
46,BFF Banking Group,BAN,Servicios financieros,Madrid,L,2026-04-28
